"ensembl_gene_id"	"hgnc_symbol"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000164647"	"STEAP1"	0.229305350543408	2.09766882811584	3.21603482095667	0.570134292327877	0.999984409927665
"ENSG00000164649"	"CDCA7L"	-0.026474668611813	2.9344652880993	0.0284351297815597	0.921968296401487	0.999984409927665
"ENSG00000164651"	"SP8"	0.37113466546695	2.28619086848286	1.9259652293417	0.301109725421203	0.999984409927665
"ENSG00000164654"	"MIOS"	0.0567330021110854	5.20759223798508	0.777783648202313	0.607262970516313	0.999984409927665
"ENSG00000164659"	"ELAPOR2"	0.132848971451829	6.0394715489568	0.982026679041093	0.331131882664455	0.999984409927665
"ENSG00000164663"	"USP49"	0.0790525545967629	4.92616085468847	2.07026519199016	0.513848332763359	0.999984409927665
"ENSG00000164669"	"INTS4P1"	-0.105194227581106	2.84921232849127	0.42893459813786	0.710310475645721	0.999984409927665
"ENSG00000164674"	"SYTL3"	0.134690641226511	1.82917189283758	0.31319858475089	0.780122550956377	0.999984409927665
"ENSG00000164675"	"IQUB"	0.109053728964234	3.17054869310153	0.698055421550983	0.650267987617711	0.999984409927665
"ENSG00000164683"	"HEY1"	-0.000915487866566047	4.90082472417411	0.000122514488327959	0.993538766752809	0.999984409927665
"ENSG00000164684"	"ZNF704"	0.0311439815775584	7.06574314687202	0.252260544591255	0.619854308316513	0.999984409927665
"ENSG00000164687"	"FABP5"	-0.0340882107605072	3.0701438857147	0.147022306206301	0.893526528187324	0.999984409927665
"ENSG00000164690"	"SHH"	-0.0461299986379857	2.40757408369512	0.108732655519982	0.894842038775862	0.999984409927665
"ENSG00000164691"	"TAGAP"	0.104806711239408	1.89386122565624	0.142636808297788	0.821003154499299	0.999984409927665
"ENSG00000164692"	"COL1A2"	-0.900573033780836	4.56472814155599	1.74834933137701	0.197976579079356	0.999984409927665
"ENSG00000164708"	"PGAM2"	0.242510764375576	1.59253430995475	1.18823135849971	0.670771659280083	0.999984409927665
